,Topic of the webinar,Date,Time,Start Time,End  Time,Duration,Image,Link of the webinar,Organising Body,Key Take aways / Agenda,Platform,Price (Free/Paid)
15,Negative Space Embroidery WebJam,"

Jul 27, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b22e5ff7d2622ede80a6/1594668012466/IMG-5657.jpg,https://craftjam.co/virtual/upcoming-webjams/negativespaceembroidery,Craft Jam,Want to step up your embroidery skills and impress your design-y friends? Look no further and join this satin stitch-based embroidery WebJam hosted online via Zoom.,Zoom,Paid
16,T-Shirt Embroidery WebJam,"

Jul 28, 2020
",7:00 PM – 8:30 PM,7:00 PM,20:30,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee2a215cf622b7b20d184bb/1594668050602/T-shirt+Embroidery.jpg,https://craftjam.co/virtual/upcoming-webjams/tshirtembroidery,Craft Jam,"Join our WebJam, hosted online via Zoom, and take your basic tee to the next level with one of our favorite crafty skills: embroidery! ",Zoom,Paid
17,Macrame Plant Hanger WebJam,"

Jul 29, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b375a1aef52e9a8d5abf/1594668074987/Macrame+Plant+Hangers+3.jpg,https://craftjam.co/virtual/upcoming-webjams/macrameplant,Craft Jam,"Craft a new way to display your plant! Learn basic macrame skills and how to make beautiful macrame plant hanger in our WebJam, hosted online via Zoom.",Zoom,Paid
18,Needle Felting WebJam,"

Jul 31, 2020
",7:00 PM – 8:30 PM,7:00 PM,8:30 PM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7b486f4ba336b5501748d/1594668090935/needle-felting.jpg,https://craftjam.co/virtual/upcoming-webjams/needlefelting,Craft Jam,"Prepare yourself for cuteness, this CraftJam will be aww-some. It’s time to learn needle felting! Needle felting is an ideal craft, because it has a quick learning curve, requires minimal supplies and can be done almost anywhere!",Zoom,Paid
19,Watercolor Brush Lettering WebJam 1 + 2,"

Aug 1, 2020
",10:00 AM – 11:30 AM,10:00 AM,11:30 AM,90 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5ee7bc80be2c546850f3611c/1594668172553/watercolor-brush-lettering1500x1000px1.jpg,https://craftjam.co/virtual/upcoming-webjams/brushletter,Craft Jam,"Whether you are interested to learn basic brush lettering skills or find new ways to take your watercolor skills further, join our WebJam!",Zoom,Paid
20,Beginner Modern Calligraphy WebJam 1 + 2,"

Aug 1, 2020
",1:00 PM – 3:00 PM,1:00 PM,3:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f049f977c5475434e59e63c/1594668188965/Modern+Calligraphy.jpg,https://craftjam.co/virtual/upcoming-webjams/calligraphy2,Craft Jam,"In our two session, beginner-friendly Beginner Modern Calligraphy WebJam, hosted online via Zoom, our JamMaster will introduce you to the techniques of pointed pen calligraphy.",Zoom,Paid
21,12 Stitch Embroidery Sampler WebJam 1 + 2,"

Aug 2, 2020
",3:30 PM – 5:30 PM,3:30 PM,5:30 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0ca7e861fce476edc05ba1/1594736906544/embroidery-tote.jpg,https://craftjam.co/virtual/upcoming-webjams/12stitch2,Craft Jam,"Over the course of two sessions taught online via Zoom, learn 12 different stitches and put those new skills to use on your own one-of-a-kind sampler!",Zoom,Paid
22,Make Embroidery Wall Art WebJam,"

Aug 3, 2020
",7:00 PM – 9:00 PM,7:00 PM,21:00,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0ca9674169dd5b9a79b826/1594676163942/craftjam-embroidery-workshop.jpg,https://craftjam.co/virtual/upcoming-webjams/embroidery2,Craft Jam,"Start stitching! Learn easy embroidery stitches in our beginner-friendly Make Embroidery Wall Art WebJam, hosted online via Zoom.",Zoom,Paid
23,Floral Embroidery WebJam,"

Aug 4, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0cd7d121258967457f8622/1594677285615/Floral+Embroidery.jpeg,https://craftjam.co/virtual/upcoming-webjams/floralembroidery2,Craft Jam,"Learn to create a beautiful floral embroidered wreath design to hang on your wall in our Floral Embroidery WebJam, hosted online via Zoom.",Zoom,Paid
24,Introduction to Brush Pen Lettering WebJam 1 + 2,"

Aug 5, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0dc3480f26b73045dfc1f1/1594737668130/calligraphy-adv3.jpg,https://craftjam.co/virtual/upcoming-webjams//brushletter3,Craft Jam,"In our two session, Beginner Brush Pen Lettering WebJam, hosted online via Zoom, our JamMaster will introduce you to the basic techniques of brush pen lettering and guide you through exercises to introduce you to and enhance your modern calligraphy skills.",Zoom,Paid
25,Negative Space Embroidery WebJam,"

Aug 6, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0ce31d8caccc33aba82111/1594680162245/IMG-5657.jpg,https://craftjam.co/virtual/upcoming-webjams/negativespaceembroidery3,Craft Jam,Want to step up your embroidery skills and impress your design-y friends? Look no further and join this satin stitch-based embroidery WebJam hosted online via Zoom.,Zoom,Paid
26,Needle Felting WebJam,"

Aug 7, 2020
",7:00 PM – 9:00 PM,7:00 PM,9:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0ca5e176f3b5253d29dc9b/1594683945179/needle-felting.jpg,https://craftjam.co/virtual/upcoming-webjams/needlefelting3,Craft Jam,"Prepare yourself for cuteness, this CraftJam will be aww-some. It’s time to learn needle felting! Needle felting is an ideal craft, because it has a quick learning curve, requires minimal supplies and can be done almost anywhere!",Zoom,Paid
27,Beginner iPad Lettering WebJam 1 + 2,"

Aug 8, 2020
",10:00 AM – 12:00 PM,10:00 PM,12:00 AM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0dc5f23284fa7dbd50c1f3/1594738309759/IMG_3753.jpg,https://craftjam.co/virtual/upcoming-webjams/ipadlettering,Craft Jam,"In our two session, beginner-friendly Beginner iPad Lettering WebJam, hosted online via Zoom, our JamMaster will help you get comfortable with the most popular digital painting software, Procreate, and guide you through finishing a gorgeous project.",Zoom,Paid
28,Beginner's Floral Watercolor WebJam,"

Aug 8, 2020
",3:30 PM – 5:30 PM,3:30 PM,5:30 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0ce6364536046d9c688f1e/1594680954664/watercolor-flowers.jpg,https://craftjam.co/virtual/upcoming-webjams/floralwatercolor2,Craft Jam,"Get into the flow with watercoloring, the perfect medium for free-flowing artwork. Receive a thorough introduction to this classic art form, hosted on-line via Zoom.",Zoom,Paid
29,Botanical Illustration and Watercoloring WebJam 1 + 2,"

Aug 9, 2020
",1:00 PM – 3:00 PM,1:00 PM,3:00 PM,120 MIN,https://static1.squarespace.com/static/56cb903522482ef758d481f5/5eeb873c425b7e295cc43fa2/5f0dc8baf8c3516ffa96064e/1594746683405/IMG_4812.jpg,https://craftjam.co/virtual/upcoming-webjams/botanical3,Craft Jam,"No green thumb? No problem! Skip the soil and learn how to draw and paint botanical images in our two session online WebJam, hosted on-line via Zoom.",Zoom,Paid
