,Topic of the webinar,Date,Start Time,End  Time,Duration,Organising Body,Theme,Link of the webinar,Image,Key Take aways / Agenda,Platform,Price (Free/Paid)
29,Master The Best You with a Coach,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/master-the-best-you-with-a-coach-jan1-2021/event, , , ,3999
30,Improve Your Confidence - by Masterlife.,Everyday | 12 PM, , ,60 min,Paytm Insider, ,https://insider.in/improve-your-confidence-by-masterlife-jan4-2021/event, , , ,999
31,Master the Art of Mindful eating,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/master-the-art-of-mindful-eating-jan4-2021/event, , , ,1999
32,Build an Awesome personal brand,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/build-an-awesome-personal-brand-jan8-2021/event, , , ,799
33,From Idea to Startup in 30 Days,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/from-idea-to-startup-in-30-days-jan8-2021/event, , , ,1999
34,Learn to Attract the Right Partner,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/learn-to-attract-the-right-partner-jan8-2021/event, , , ,1999
35,Unlock Your Potential Through Vision Boarding,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/unlock-your-potential-through-vision-boarding-jan8-2021/event, , , ,799
36,Going Beyond the Mind Through Soulful Living,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/going-beyond-the-mind-through-soulful-living-jan8-2021/event, , , ,799
37,Learn Personal Financial Investing,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/learn-personal-financial-investing-jan8-2021/event, , , ,1999
38,Rewrite Your Money Story,Daily, , ,60 min,Paytm Insider, ,https://insider.in/rewrite-your-money-story-jan8-2021/event, , , ,799
39,Master the Money Mindset,Daily | 3:45PM, , ,60 min,Paytm Insider, ,https://insider.in/master-the-money-mindset-jan8-2021/event, , , ,799
40,How to Improve Your Sales Skills,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/how-to-improve-your-sales-skills-jan11-2021/event, , , ,999
41,Build a Power Networker Mindset,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/how-to-be-a-power-networker-jan11-2021/event, , , ,1999
42,Learn to Connect with Anyone,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/learn-to-connect-with-anyone-jan11-2021/event, , , ,1999
43,Develop a High Performance Mindset,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/develop-a-high-performance-mindset-jan11-2021/event, , , ,999
44,Master the Art of Styling & Grooming for Men,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/master-the-art-of-styling-grooming-for-men-jan11-2021/event, , , ,999
45,How to Manage Stress and Thrive,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/overcome-work-from-home-stress-jan11-2021/event, , , ,799
46,Unlock Your Super Powers by Sleeping Better,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/unlock-your-super-powers-by-sleeping-better-jan11-2021/event, , , ,799
47,Millionaire Morning Routine,Everyday, , ,60 min,Paytm Insider, ,https://insider.in/millionaire-morning-routine-jan11-2021/event, , , ,799
48,Exchange role in ETFs with Mukesh Agarwal,Video on Demand, , ,60 min,Paytm Insider, ,https://insider.in/exchange-role-in-etfs-with-mukesh-agarwal/event, , , ,99
49,Basics of stock market,February | 9PM, , ,60 min,Paytm Insider, ,https://insider.in/basics-of-stock-market-nov28-2020/event, , , ,899 onwards
50,Advanced Financial Modeling,March 6 | 5:47PM - April 24 | 9:47PM, , ,60 min,Paytm Insider, ,https://insider.in/advanced-financial-modeling-mar6-2021/event, , , ,9999
51,PMP Interactive Live Online Training ,March 13 | 6:41PM - April 24 | 10:41PM, , ,60 min,Paytm Insider, ,https://insider.in/pmp-interactive-live-online-training--mar13-2021/event, , , ,9999
52,Communication Excellence Foundation Course,March 27 | 4PM - April 25 | 7PM, , ,60 min,Paytm Insider, ,https://insider.in/communication-excellence-foundation-course-mar27-2021/event, , , ,7999 onwards
53,PRODUCT LEADERSHIP FESTIVAL 2021,March 30 | 8PM - April 11 | 10AM, , ,60 min,Paytm Insider, ,https://insider.in/product-leadership-festival-2021-mar30-2021/event, , , ,Free
54,ETG Get Skilled Camp 2021,April 3 | 9AM - April 11 | 9PM, , ,60 min,Paytm Insider, ,https://insider.in/etg-get-skilled-camp-2021-apr3-2021/event, , , ,1199
55,Upgrade your Relationship  by Rudra Thakur: A relationship beyond I love you,April 5 | 12PM - April 30 | 1PM, , ,60 min,Paytm Insider, ,https://insider.in/upgrade-your-relationship-by-rudra-thakur-a-relationship-beyond-i-love-you-apr5-2021/event, , , ,999 onwards
56,ONLINE VOICE COACHING WORKSHOP FOR KIDS,April 5 | 3:30PM - May 5 | 7:30PM, , ,60 min,Paytm Insider, ,https://insider.in/online-voice-coaching-workshop-for-kids-apr5-2021/event, , , ,5000
57,VIRTUAL TRAVEL FEST 2021 - WESTERN INDIA EDITION,April 9 | 11AM - April 11 | 9PM, , ,60 min,Paytm Insider, ,https://insider.in/virtual-travel-fest-2021-western-india-edition-apr9-2021/event, , , ,0 onwards
58,CHEF SERIES: GLOBAL SANDWICHES,April 9 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/chef-series-global-sandwiches-apr9-2021/event, , , ,1950
59,Digital Marketing Masterclass l A-Z of digital marketing - Sorted,April 10 | 11AM - May 1 | 2PM, , ,60 min,Paytm Insider, ,https://insider.in/digital-marketing-masterclass-l-az-of-digital-marketing-sorted-apr10-2021/event, , , ,5250
60,German Language For Kids | Demo Class | For Kids Aged 5-14 Years | BaaBee TV,April 4 | 5PM - April 25 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/german-language-for-kids-demo-class-for-kids-aged-514-years-baabee-tv-apr4-2021/event, , , ,49 onwards
61,Learn To Play Chess | Demo Class | For Kids Aged 5-14 Years | BaaBee TV,April 4 | 11AM - April 25 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/learn-to-play-chess-demo-class-for-kids-aged-514-years-baabee-tv-apr4-2021/event, , , ,49 onwards
62,Providing Free 1 Week Online US IT Training With 100% Guaranteed Placement...,April 12 | 12PM, , ,60 min,Paytm Insider, ,https://insider.in/providing-free-online-us-it-training-with-100-guaranteed-placements-programs-apr12-2021/event, , , ,Free
63,Vishal Bhargava,April 13 | 2:16AM, , ,60 min,Paytm Insider, ,https://insider.in/vishal-bhargava-apr13-2021/event, , , ,50
64,GLOBAL SOUPS & SALADS - 5 ,April 14 | 3PM, , ,60 min,Paytm Insider, ,https://insider.in/master-class-global-soups-salads-5--apr14-2021/event, , , ,1950
65,Emotional Intelligence - The Brain Hack,April 17 | 10AM - May 2 | 6PM, , ,60 min,Paytm Insider, ,https://insider.in/emotional-intelligence-the-brain-hack-apr17-2021/event, , , ,1199 onwards
66,Unlocking Platform Thinking: Key Platform Product Management Perspectives,April 21 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/unlocking-platform-thinking-key-platform-product-management-perspectives-apr21-2021/event, , , ,Free
67,NLP Foundation Certificate Course,April 24 | 6PM - April 28 | 8PM, , ,60 min,Paytm Insider, ,https://insider.in/nlp-foundation-certificate-course-apr24-2021/event, , , ,5500
