,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
17,Webinar: The Tipping Point of Enterprise AI Product by Salesforce Sr Dir PM,https://www.eventbrite.com/e/webinar-the-tipping-point-of-enterprise-ai-product-by-salesforce-sr-dir-pm-tickets-105258456878?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/12/17182456/salesforce_.jpg,Mayukh Bhaowal,"Tuesday, June 30th, 2020",11:30AM - 12:00PM (PT) ,,Free
18,Webinar: Product & Development Collab Tactics by Workday Dir of PM,https://www.eventbrite.com/e/webinar-product-development-collab-tactics-by-workday-dir-of-pm-tickets-106914604460?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/08/17093833/Workday.png,Fazal Gupta,"Tuesday, June 30th, 2020",2:00PM - 2:30PM (PT) ,,Free
19,Webinar: Lessons of Product Localization from Airbnb by Airbnb fmr PM,https://www.eventbrite.com/e/webinar-lessons-of-product-localization-from-airbnb-by-airbnb-fmr-pm-tickets-107935283338?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/01/11133513/AirBnB-square.png,Julian Leung,"Wednesday, July 1st, 2020",11:30AM - 12:00PM (PT) ,,Free
20,Fireside Chat with Segment VP of Product,https://www.eventbrite.com/e/fireside-chat-with-segment-vp-of-product-tickets-103510362280?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/04/28141155/segment.png,Ben Galbraith,"Wednesday, July 1st, 2020",1:00PM - 1:30PM (PT) ,,Free
21,Webinar: Product Strategy & The Time Poor PM by Intercom Sr PM,https://www.eventbrite.com/e/webinar-product-strategy-the-time-poor-pm-by-intercom-sr-pm-tickets-107689851244?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132329/Intercom.png,Mathew Cropper,"Wednesday, July 1st, 2020",2:00PM - 2:30PM (PT) ,,Free
22,Product Management Live Chat by Uber Product Manager,https://www.eventbrite.com/e/product-management-live-chat-by-uber-product-manager-tickets-105382028484?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Shiva Arunachalam,"Thursday, July 2nd, 2020",10:30AM - 11:00AM (PT) ,,Free
23,Webinar: Pivots by Spotify Product Manager,https://www.eventbrite.com/e/webinar-pivots-by-spotify-product-manager-tickets-99183886675?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/08/09083333/spotify_logo_square.png,Anya Ruvinskaya,"Thursday, July 2nd, 2020",11:30AM - 12:00PM (PT) ,,Free
24,Webinar: Growth Optimization: Metrics & Frameworks by MasterClass Sr PM,https://www.eventbrite.com/e/webinar-growth-optimization-metrics-frameworks-by-masterclass-sr-pm-tickets-104743703236?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/18163143/masterclass.png,"Thursday, July 2nd, 2020",2:00PM - 2:30PM (PT) ,Online,,Free
25,Webinar: Managing an ML Product as a Black-Box by fmr Groupon Sr BI PM,https://www.eventbrite.com/e/webinar-managing-an-ml-product-as-a-black-box-by-fmr-groupon-sr-bi-pm-tickets-104427892638?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/11/08103840/joboffer-groupon.png,Gianluca Gindro,"Friday, July 3rd, 2020",11:30AM - 12:00PM (PT) ,,Free
26,Webinar: A Practical Template for Product Thinking by Google PM,https://www.eventbrite.com/e/webinar-a-practical-template-for-product-thinking-by-google-pm-tickets-108139674678?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Prashant Nair,"Friday, July 3rd, 2020",2:00PM - 2:30PM (PT) ,,Free
